Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of women in senior and middle management positions,Southern Asia,50,Bangladesh,2010,Female,-,-,-,10,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,50,Bangladesh,2006,Female,-,-,-,10.9,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,50,Bangladesh,2017,Female,-,-,-,11.5,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,356,India,2010,Female,-,-,-,12.3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,356,India,2012,Female,-,-,-,13,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,462,Maldives,2016,Female,-,-,-,19.5,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Employment definition: Excluding own-use production workers;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2008,Female,-,-,-,5.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2007,Female,-,-,-,6.1,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2009,Female,-,-,-,5.7,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2010,Female,-,-,-,6.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2006,Female,-,-,-,7.6,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;Break in series: Methodology revised,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2011,Female,-,-,-,5.8,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2013,Female,-,-,-,4.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,8,Albania,2008,Female,-,-,-,24.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,8,Albania,2007,Female,-,-,-,22.8,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,8,Albania,2009,Female,-,-,-,22,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,8,Albania,2010,Female,-,-,-,16.3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,8,Albania,2012,Female,-,-,-,14.7,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,8,Albania,2013,Female,-,-,-,29.3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2003,Female,-,-,-,28.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2008,Female,-,-,-,25.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2000,Female,-,-,-,28.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2005,Female,-,-,-,21.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2007,Female,-,-,-,21,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2009,Female,-,-,-,23.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2010,Female,-,-,-,25.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2001,Female,-,-,-,29.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2004,Female,-,-,-,22.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2006,Female,-,-,-,21,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2011,Female,-,-,-,26.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2002,Female,-,-,-,30.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2012,Female,-,-,-,27.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2013,Female,-,-,-,26.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2015,Female,-,-,-,27.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2014,Female,-,-,-,27.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2016,Female,-,-,-,29.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,40,Austria,2017,Female,-,-,-,29.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2003,Female,-,-,-,27.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2008,Female,-,-,-,31.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2000,Female,-,-,-,24.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2005,Female,-,-,-,30.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2007,Female,-,-,-,33.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2009,Female,-,-,-,34.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2010,Female,-,-,-,34.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2001,Female,-,-,-,28.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2004,Female,-,-,-,26.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2006,Female,-,-,-,31.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2011,Female,-,-,-,30.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2002,Female,-,-,-,28,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2012,Female,-,-,-,31.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2013,Female,-,-,-,30.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2015,Female,-,-,-,31,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2014,Female,-,-,-,31.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2016,Female,-,-,-,32,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,56,Belgium,2017,Female,-,-,-,32.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,70,Bosnia and Herzegovina,2008,Female,-,-,-,33.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,70,Bosnia and Herzegovina,2007,Female,-,-,-,20.3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,70,Bosnia and Herzegovina,2009,Female,-,-,-,27.7,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,70,Bosnia and Herzegovina,2006,Female,-,-,-,23.7,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,70,Bosnia and Herzegovina,2011,Female,-,-,-,22.6,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,70,Bosnia and Herzegovina,2012,Female,-,-,-,23,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,70,Bosnia and Herzegovina,2014,Female,-,-,-,24.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2003,Female,-,-,-,37.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2008,Female,-,-,-,36.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2000,Female,-,-,-,37.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2005,Female,-,-,-,40.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2007,Female,-,-,-,36.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2009,Female,-,-,-,35.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2010,Female,-,-,-,38.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2001,Female,-,-,-,40.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2004,Female,-,-,-,41.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2006,Female,-,-,-,37.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2011,Female,-,-,-,37,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2002,Female,-,-,-,42.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2012,Female,-,-,-,35.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2013,Female,-,-,-,36,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2015,Female,-,-,-,37.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2014,Female,-,-,-,35.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2016,Female,-,-,-,39.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,100,Bulgaria,2017,Female,-,-,-,39.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2003,Female,-,-,-,28.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2008,Female,-,-,-,32.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2005,Female,-,-,-,28.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2007,Female,-,-,-,22.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2009,Female,-,-,-,37.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2010,Female,-,-,-,27.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2004,Female,-,-,-,17.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2006,Female,-,-,-,27.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2011,Female,-,-,-,23.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2002,Female,-,-,-,26.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2012,Female,-,-,-,25.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2013,Female,-,-,-,23.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2015,Female,-,-,-,26.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2014,Female,-,-,-,24.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2016,Female,-,-,-,29.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,191,Croatia,2017,Female,-,-,-,27.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2008,Female,-,-,-,20.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2000,Female,-,-,-,18.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2005,Female,-,-,-,17.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2007,Female,-,-,-,17.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2009,Female,-,-,-,13.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2010,Female,-,-,-,14.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2001,Female,-,-,-,18.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2004,Female,-,-,-,17,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2006,Female,-,-,-,17.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2011,Female,-,-,-,14.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2002,Female,-,-,-,17.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2012,Female,-,-,-,16.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2013,Female,-,-,-,18.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2015,Female,-,-,-,25.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2014,Female,-,-,-,18.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2016,Female,-,-,-,27,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,196,Cyprus,2017,Female,-,-,-,22.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2003,Female,-,-,-,31.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2008,Female,-,-,-,29.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2000,Female,-,-,-,26.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2005,Female,-,-,-,31.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2007,Female,-,-,-,29.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2009,Female,-,-,-,28.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2010,Female,-,-,-,27.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2001,Female,-,-,-,29.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2004,Female,-,-,-,30.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2006,Female,-,-,-,30.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2011,Female,-,-,-,24,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2002,Female,-,-,-,28.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2012,Female,-,-,-,23.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2013,Female,-,-,-,24.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2015,Female,-,-,-,27.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2014,Female,-,-,-,26.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2016,Female,-,-,-,23.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,203,Czech Republic,2017,Female,-,-,-,24.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2003,Female,-,-,-,20.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2008,Female,-,-,-,19.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2000,Female,-,-,-,19.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2005,Female,-,-,-,21.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2007,Female,-,-,-,25.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2009,Female,-,-,-,20.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2010,Female,-,-,-,19.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2001,Female,-,-,-,17.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2004,Female,-,-,-,20.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2006,Female,-,-,-,20.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2011,Female,-,-,-,28.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2002,Female,-,-,-,17.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2012,Female,-,-,-,28.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2013,Female,-,-,-,27.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2015,Female,-,-,-,26.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2014,Female,-,-,-,26.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2016,Female,-,-,-,28.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,208,Denmark,2017,Female,-,-,-,27.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
